case_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,0.4,1,0,0.9690721649484536,0.7551020408163265,0.5555555555555556,0.7966666666666669,0.0824742268041237,0.9072164948453608,0.5758354755784062,0.54421768707483,1
2,0.0,0,1,0.4020618556701031,0.3035714285714285,0.3333333333333333,0.195,0.0927835051546391,0.1134020618556701,0.2185089974293059,0.2244897959183673,0
3,0.6000000000000001,1,0,0.9175257731958762,0.7499999999999999,1.0,0.3433333333333334,0.2439862542955326,0.2319587628865979,0.8483290488431877,0.870748299319728,0
4,0.6000000000000001,1,0,0.8247422680412371,0.7755102040816326,0.3333333333333333,0.2783333333333334,0.6254295532646048,0.1701030927835051,0.5912596401028278,0.5374149659863946,0
5,1.0,0,1,0.9896907216494844,0.6096938775510203,1.0,0.1366666666666667,0.4261168384879725,0.422680412371134,0.7480719794344474,0.3401360544217687,0
6,0.0,1,1,0.4742268041237113,0.336734693877551,0.4444444444444445,0.0316666666666667,0.2336769759450171,0.4278350515463917,0.3444730077120823,0.3469387755102041,0
7,1.0,1,0,0.8762886597938143,0.8341836734693877,0.1111111111111111,0.6300000000000001,0.7731958762886598,0.7628865979381443,0.7429305912596402,0.2925170068027211,1
8,0.4,1,1,0.5670103092783505,0.375,1.0,0.1366666666666667,0.4536082474226804,0.2938144329896907,0.2956298200514138,0.4081632653061224,0
9,0.0,1,1,0.0618556701030927,0.048469387755102,1.0,0.8033333333333335,0.0446735395189003,0.0412371134020618,0.0642673521850899,0.0408163265306122,1
10,1.0,0,0,0.0927835051546391,0.1020408163265306,0.4444444444444445,0.1466666666666667,0.1099656357388316,0.0721649484536082,0.0771208226221079,0.108843537414966,0
11,0.8,1,1,0.2783505154639175,0.2780612244897959,0.0,0.4116666666666667,0.2783505154639175,0.2422680412371134,0.2365038560411311,0.2108843537414966,1
12,0.4,0,1,0.6701030927835051,0.5714285714285714,0.8888888888888888,0.3966666666666667,0.5257731958762887,0.2989690721649484,0.5167095115681235,0.435374149659864,0
13,0.6000000000000001,0,1,0.4948453608247422,0.288265306122449,0.7777777777777777,0.0183333333333333,0.2199312714776632,0.4948453608247422,0.3676092544987147,0.2925170068027211,0
14,0.4,1,1,0.9175257731958762,0.7959183673469387,0.6666666666666665,0.6316666666666668,0.3711340206185567,0.8556701030927835,0.5295629820051414,0.3401360544217687,1
15,0.2,0,0,0.1752577319587628,0.1811224489795918,0.2222222222222222,0.2816666666666667,0.0652920962199312,0.0618556701030927,0.1439588688946015,0.1292517006802721,0
16,1.0,0,0,0.4639175257731959,0.2653061224489796,0.4444444444444445,0.8233333333333335,0.1958762886597938,0.2010309278350515,0.4138817480719794,0.2993197278911564,1
17,0.4,1,1,0.0309278350515463,0.0331632653061224,0.1111111111111111,0.605,0.0446735395189003,0.0051546391752577,0.0257069408740359,0.0476190476190476,1
18,0.8,0,1,0.2783505154639175,0.2321428571428571,0.6666666666666665,0.8,0.0996563573883161,0.1443298969072164,0.1645244215938303,0.2925170068027211,1
19,0.4,1,0,0.2577319587628866,0.2551020408163265,0.4444444444444445,0.7266666666666668,0.0343642611683848,0.0,0.1516709511568123,0.2244897959183673,1
20,1.0,1,0,0.6288659793814433,0.3647959183673469,0.5555555555555556,0.5866666666666667,0.3539518900343642,0.1804123711340206,0.596401028277635,0.4013605442176871,1
